in_global_index,hpd_index,in_global_value,hpd_value,difference
0,0,2023.4435318275155,2023.1438356164383,0.29969621107716193
0,1,2023.4435318275155,2023.349321915639,0.09420991187653271
0,2,2023.4435318275155,2023.409575855044,0.033955972471403584
0,3,2023.4435318275155,2023.4371164702368,0.006415357278683587
0,4,2023.4435318275155,2023.467123287672,0.023591460156467292
1,5,2023.495550992471,2023.4924784013765,0.003072591094451127
2,6,2023.514715947981,2023.519178082192,0.004462134211053126
3,6,2023.514715947981,2023.519178082192,0.004462134211053126
4,7,2023.5338809034909,2023.543436322425,0.009555418934041882
5,7,2023.5749486652978,2023.543436322425,0.031512342872929366
6,7,2023.5913757700205,2023.543436322425,0.04793944759558144
7,7,2023.5968514715948,2023.543436322425,0.05341514916995038
8,8,2023.6872005475702,2023.7328767123288,0.045676164758560844
9,8,2023.8405201916496,2023.7328767123288,0.10764347932081364
10,9,2024.3011635865846,2024.2199453551912,0.08121823139344997
