y_value,HPD_low,HPD_mid,HPD_high
1,2022.85698825484,2023.1438356164383,2023.3494224411045
2,2023.3267507055104,2023.349321915639,2023.409589041096
3,2023.408451082679,2023.409575855044,2023.4373021488368
4,2023.408859559404,2023.4371164702368,2023.467123287672
5,2023.4656164865944,2023.467123287672,2023.4933079072623
6,2023.46929998366,2023.4924784013765,2023.519178082192
7,2023.516314912217,2023.519178082192,2023.5434661286488
8,2023.5330830621456,2023.543436322425,2023.7328767123288
9,2023.7225583787213,2023.7328767123288,2024.2259673198253
10,2024.208333334736,2024.2199453551912,2024.2262936012687
